D-125F,DESC. ATMOSF. POSTE QUEMADO,
D-125G,DESC. ATMOSF. CRUCETA QUEMADA,
D-1254,DESC. ATMOSF. EMPALMES,
D-1251,DESC. ATMOSF. PUENTE ABIERTO,
D125K,DESC. ATMOSF. EQUIPO ELECTRICO,
D-125L,DESC. ATMOSF. EN INSTALACIONE PARTICULAR,
D-125T,DESCARGAS ATMOSFERICAS (TRANSITORIO),
D-126,INUNDACION,
D-126T,INUNDACION(TRANSITORIO),
D-127,HIELO O GRANIZO,
D-127T,HIELO O GRANIZO(TRANSITORIO),
D-131,CONTAMINACIÓN,
D-131A,LAVADO EN VIVO,
D-131T,CONTAMINACION(TRANSITORIO),
D-132,CORROSION,
D-132T,CORROSION(TRANSITORIO),
D-133,FALSO CONTACTO,
D-133T,FALSO CONTACTO(TRANSITORIO),
D-134,RAMA SOBRE LINEA,
D-134T,RAMA SOBRE LINEA(TRANSITORIO),
D-135,ARBOL SOBRE LINEAS,
D-135T,ARBOL SOBRE LINEAS (TRANSITORIO),
D-136,OBJETOS AJENOS SOBRE LINEA,
D-136T,OBJETOS AJENOS S/LINEA (TRANSITORIO),
D-140,ROBO DE CONDUCTOR,
D-140A,ROBO DE CONDUCTOR 04 DE OCTUBRE,
D-141,CHOQUE O GOLPE,
D-141T,CHOQUE O GOLPE (TRANSITORIO),
D-142,VANDALISMO,
D-142A,VANDALISMO RAMA SOBRE LINEA,
D-142B,VANDALISMO LINEA CAÍDA,
D-142C,VANDALISMO OBJETOS EXTRAÑOS EN LA LINEA,
D-142D,VANDALISMO POSTE AVERIADO,
D-143,CRUZAMIENTO CON OTRAS INSTALACIONES,
D-144,PROPAGACION FALLA AJENA A CFE,
D-145,ANIMALES,
D-145T,ANIMALES (TRANSITORIO),
D-146,HUNDIMIENTO O DERRUMBE,
D-147,INCENDIO O EXPLOSION,
D-147B,INCENDIO (JUSTIFICADO),
D-148,SISMO,
D-148T,SISMO (TRANSITORIO),
D-149,QUEMA DE CAÑA O MONTE,
D-151,LIBRANZA PROGRAMADA EN CIRCUITO,
D-152,POR ACCESO DIFICIL A INSTALACION,
D-153,SOBRECARGA,
D-154,FALTA DE BRECHA,
D-155,FALTA DE MANTENIMIENTO A ESTRUCTURA,
D-156,DEMORA EN ATENCIÓN C.C.C.,
D-157,DEMORA EN ATENCION OPERACIÓN CUIDADANA,
D-158,LIBRAMIENTO INAD. DE PROTECC. EN RAMAL,
D-159,OPERACIÓN INAD. FUSIBLE DE BCO. DE DISTRITO,
D-161,FALLA EQUIPO DE PROTECC. O SECC.,
D-162,FALLA EQUPO REGULADOR,
D-163,FALLA AISLAMIENTO,
D-164,FALLA CONDUCTORES,
D-165,FALLA CORTACIRCUITO,
D-166,FALLA APARTARRAYOS,
D-167,FALLA HERRAJES Y ACCESORIOS,
D-168,FALLA OTROS EQUIPOS,
D-169,FALLA EN OTRAS AREAS DE DISTRIBUCIÓN,
D-170,FALLA EN OTRA ZONA DE DISTRIBUCIÓN,
D-171,IGNORADA,
D-172,PERSONAL AJENO A CFE,
D-228,IGNORADA,
D-T116,AMARRE INADECUADO (TRANSITORIO),
D-T121,HURACAN O CICLON (TRANSITORIO),
D-T122,TORNADO (TRANSITORIO),
D-T123,VIENTOS FUERTES(TRANSITORIO),
D-T124,TORMENTA (TRANSITORIO),
D-T125,DESCARGA ATMOSFERICA (TRANSITORIO),
D-T126,INUNDACION(TRANSITORIO),
D-T127,HIELO O GRANIZO (TRANSITORIO),
D-T131,CONTAMINACION(TRANSITORIO),
D-T132,CORROSION (TRANSITORIO),
D-T133,FALSO CONTACTO (TRANSITORIO),
D-T134,RAMA SOBRE LINEA (TRANSITORIO),
D-T135,ARBOL SOBRE LINEAS (TRANSITORIO),
D-T136,OBJETOS AJENOS SOBRE LINEA (TRANSITORIO),
D-T141,CHOQUE O GOLPE (TRANSITORIO),
D-T145,ANIMALES (TRANSITORIO),
D-T148,SISMO (TRANSITORIO),
